player_id,first_name,last_name,birth_date,country_code
1,Roger,Federer,1980-01-01,SUI
2,Rafael,Nadal,1981-02-02,ESP
3,Novak,Djokovic,1982-03-03,SRB
4,Andy,Murray,1983-04-04,GBR
5,Pete,Sampras,1984-05-05,USA
6,Andre,Agassi,1985-06-06,USA
7,Stan,Wawrinka,1986-07-07,SUI
8,Dominic,Thiem,1987-08-08,AUT
9,Alexander,Zverev,1988-09-09,GER
10,Daniil,Medvedev,1989-10-10,RUS
11,Stefanos,Tsitsipas,1990-11-11,GRE
12,Juan Martin,del Potro,1991-12-12,ARG
13,Marin,Cilic,1990-01-01,HR
14,Kei,Nishikori,1991-01-01,JAP
15,David,Ferrer,1992-01-01,ESP
16,Tomas,Berdych,1993-01-01,CZE
17,Jo-Wilfried,Tsonga,1994-01-01,FR
18,Grigor,Dimitrov,1990-04-01,BG
19,Nick,Kyrgios,1989-01-01,AUT
20,Gael,Monfils,1990-06-01,FR
21,Milos,Raonic,1990-01-01,CAD
22,John,Isner,1990-01-01,USA
23,Richard,Gasquet,1990-01-01,FR
24,Roberto,Agut,1990-01-01,ESP
25,Fabio,Fognini,1996-01-01,IT
26,Kevin,Anderson,1990-01-01,RPA 
27,Felix ,Auger,1990-02-01,CAD
28,Denis,Shapovalov,1990-11-01,CAD
29,Casper,Ruud,1990-01-01,NO
30,Diego,Schwartzman,1990-01-01,GER
31,Jannik,Sinner,1999-01-07,IT
32,Carlos,Alcaraz,1998-01-01,ESP
33,Hubert,Hurkacz,1998-01-01,POL
34,Karen,Khachanov,1998-01-01,RUS
35,Pablo,Carreno Busta,1998-01-01,ESP
36,Alex,de Minaur,1998-01-01,AUS
37,Frances,Tiafoe,1998-01-01,FR
38,Borna,Coric,1998-01-01,HR
39,Taylor,Fritz,1998-01-01,GER
40,Reilly,Opelka,1998-01-01,CZE
41,Sam,Querrey,1998-01-01,USA
42,Benoit,Paire,1998-01-01,FR
43,Lorenzo,Sonego,1998-01-01,IT
44,Cameron,Norrie,1998-01-01,GBR
45,Ugo,Humbert,1998-01-01,FR
46,Sebastian,Korda,1998-01-01,USA
47,Albert,Ramos-Vinolas,1998-01-01,ESP
48,Aslan,Karatsev,1998-01-01,RUS
49,Yoshihito,Nishioka,1998-01-01,JAP
50,Lloyd,Harris,1998-01-01,RPA
51,Adrian,Mannarino,1998-01-01,IT
52,Guido,Pella,1998-01-01,ESP
53,Tommy,Paul,1998-01-01,USA
54,Mackenzie,McDonald,1998-01-01,USA
55,Alexander,Bublik,1998-01-01,KAZ
56,Jan-Lennard,Struff,1998-01-01,GER
57,Miomir,Kecmanovic,1998-01-01,SRB
58,Filip,Krajinovic,1998-01-01,SRB
59,Nikoloz,Basilashvili,1998-01-01,GE
60,Dusan,Lajovic,1998-01-01,SRB
61,Alejandro,Davidovich Fokina,1998-01-01,ESP
62,Daniel,Evans,1998-01-01,USA
63,Jordan,Thompson,1998-01-01,USA
64,Steve,Johnson,1998-01-01,USA
65,Gilles,Simon,1998-01-01,FR
66,Jeremy,Chardy,1998-01-01,FR
67,Roberto,Carballes Baena,1998-01-01,ESP
68,Jaume,Munar,1998-01-01,FR
69,James,Duckworth,1998-01-01,AUT
70,Emil,Ruusuvuori,1995-01-01,FI
71,Marcos,Giron,1998-01-01,USA
72,Dominik,Koepfer,1998-01-01,GER
73,Federico,Delbonis,1998-01-01,ARG
74,Juan Ignacio,Londero,1998-01-01,ARG
75,Federico,Coria,1998-01-01,ARG
76,Thiago,Monteiro,1998-01-01,ARG
77,Ricardas,Berankis,1998-01-01,LT
78,Soonwoo,Kwon,1998-01-01,KOR
79,Aljaz,Bedene,1998-01-01,LT
80,Radu,Albot,1998-01-01,LT
81,Taro,Daniel,1998-01-01,JAP
82,Denis,Kudla,1998-01-01,USA
83,Gregoire,Barrere,1998-01-01,FR
84,Thiago,Seyboth Wild,1998-01-01,BR
85,Salvatore,Caruso,1998-01-01,BR
86,Peter,Gojowczyk,1998-01-01,GER
87,Steve,Darcis,1998-01-01,GER
88,Thomas,Fabbiano,1998-01-01,IT
89,Andreas,Seppi,1997-01-01,IT
90,Quentin,Halys,1998-01-01,FR
91,Corentin,Moutet,1998-01-01,FR
92,Attila,Balazs,1998-01-01,HU
93,Kamil,Majchrzak,1998-01-01,POL
94,Egor,Gerasimov,1998-09-01,RUS
95,Marcos,Baghdatis,1998-01-01,CY
96,Ivo,Karlovic,1998-04-01,RUS
97,Vasek,Pospisil,1988-01-01,RUS
98,Cedrik-Marcel,Stebe,1998-01-01,GER
99,Evgeny,Donskoy,1998-01-01,RUS
100,Lu,Yen-hsun,1998-01-01,JAP
101,Paolo,Lorenzi,1998-01-08,IT
102,Viktor,Troicki,1998-01-01,SRB
103,Bernard,Tomic,1998-01-01,AUT
104,Andrey,Golubev,1998-01-01,RUS
105,Lukas,Lacko,1998-01-01,SRB
106,Victor,Estrella Burgos,1998-01-01,ESP
107,Guillermo,Garcia-Lopez,1998-01-01,ESP
108,Sergiy,Stakhovsky,1998-01-01,RUS
109,Santiago,Giraldo,1998-01-01,COL
110,Malek,Jaziri,1998-01-01,COL
